epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
1,1.000000e-08,20.2911,9.3306,0.0293,0.0149,0.0117,0.0614,201.6,1
2,1.000900e-05,16.8953,9.3415,0.0296,0.0149,0.0116,0.0622,196.5,1
3,2.000800e-05,11.2399,9.2732,0.0294,0.0151,0.0116,0.0613,189.4,0
4,3.000700e-05,7.5377,9.1040,0.0308,0.0162,0.0128,0.0635,189.7,1
5,4.000600e-05,5.4827,8.9078,0.0342,0.0199,0.0157,0.0671,189.6,1
6,5.000500e-05,4.3932,8.6872,0.0317,0.0191,0.0154,0.0606,401.6,0
7,6.000400e-05,3.7782,8.3733,0.0359,0.0238,0.0193,0.0644,571.9,1
8,7.000300e-05,3.2974,8.0710,0.0398,0.0284,0.0228,0.0681,421.0,1
9,8.000200e-05,2.9277,7.7461,0.0418,0.0307,0.0263,0.0682,189.3,1
10,9.000100e-05,2.6079,7.4548,0.0432,0.0336,0.0292,0.0667,189.9,1
11,1.000000e-04,2.3834,7.0961,0.0502,0.0418,0.0359,0.0727,189.4,1
12,9.999710e-05,2.2177,6.7344,0.0545,0.0480,0.0409,0.0747,189.6,1
13,9.998838e-05,2.0480,6.4047,0.0600,0.0570,0.0484,0.0747,189.5,1
14,9.997386e-05,1.9506,6.0431,0.0723,0.0696,0.0604,0.0869,189.7,1
15,9.995353e-05,1.8796,5.7136,0.0799,0.0800,0.0695,0.0903,189.4,1
16,9.992740e-05,1.7549,5.3785,0.0921,0.0957,0.0830,0.0975,189.7,1
17,9.989547e-05,1.6620,5.0367,0.1113,0.1179,0.1035,0.1126,189.8,1
18,9.985775e-05,1.6971,4.7584,0.1288,0.1368,0.1218,0.1278,189.5,1
19,9.981423e-05,1.5731,4.4771,0.1519,0.1617,0.1453,0.1488,189.3,1
20,9.976492e-05,1.5196,4.2283,0.1721,0.1840,0.1652,0.1672,189.6,1
21,9.970983e-05,1.5201,3.9932,0.1833,0.1912,0.1744,0.1843,189.6,1
22,9.964897e-05,1.5498,3.8187,0.2036,0.2110,0.1952,0.2045,189.6,1
23,9.958233e-05,1.4234,3.6252,0.2314,0.2364,0.2200,0.2380,189.6,1
24,9.950994e-05,1.4544,3.4077,0.2634,0.2709,0.2549,0.2645,189.8,1
25,9.943180e-05,1.3947,3.2930,0.2716,0.2758,0.2609,0.2781,189.3,1
26,9.934791e-05,1.3350,3.1312,0.2998,0.2991,0.2855,0.3147,189.4,1
27,9.925829e-05,1.3543,3.0024,0.3225,0.3207,0.3076,0.3392,189.7,1
28,9.916295e-05,1.2846,2.9133,0.3357,0.3286,0.3210,0.3573,189.6,1
29,9.906190e-05,1.2803,2.7564,0.3740,0.3648,0.3576,0.3996,189.5,1
30,9.895515e-05,1.2924,2.6759,0.3868,0.3710,0.3665,0.4231,189.7,1
31,9.884272e-05,1.2347,2.6104,0.3871,0.3700,0.3666,0.4246,189.2,1
32,9.872461e-05,1.2473,2.4428,0.4462,0.4221,0.4187,0.4978,189.6,1
33,9.860084e-05,1.2860,2.4193,0.4257,0.3981,0.4020,0.4771,189.5,0
34,9.847143e-05,1.1767,2.3314,0.4509,0.4198,0.4239,0.5091,189.8,1
35,9.833638e-05,1.1963,2.2405,0.4783,0.4389,0.4431,0.5530,189.7,1
36,9.819572e-05,1.1949,2.1062,0.5153,0.4756,0.4828,0.5876,189.2,1
37,9.804947e-05,1.2025,2.0912,0.5064,0.4571,0.4643,0.5979,189.5,0
38,9.789764e-05,1.2156,1.9846,0.5325,0.4780,0.4956,0.6240,189.4,1
39,9.774024e-05,1.1627,1.9667,0.5369,0.4768,0.4955,0.6383,189.8,1
40,9.757730e-05,1.1184,1.8588,0.5608,0.4952,0.5185,0.6688,189.9,1
41,9.740883e-05,1.0881,1.8180,0.5763,0.5116,0.5351,0.6824,189.6,1
42,9.723486e-05,1.1055,1.8253,0.5664,0.4947,0.5207,0.6839,189.8,0
43,9.705541e-05,1.1611,1.7385,0.5922,0.5164,0.5403,0.7200,189.6,1
44,9.687049e-05,1.1247,1.7075,0.5844,0.5064,0.5328,0.7139,189.6,0
45,9.668013e-05,1.1958,1.6897,0.5915,0.5106,0.5386,0.7254,189.7,0
46,9.648435e-05,1.1353,1.6264,0.6106,0.5309,0.5611,0.7399,189.4,1
47,9.628317e-05,1.0952,1.6223,0.6083,0.5241,0.5559,0.7448,189.6,0
48,9.607662e-05,1.0973,1.5348,0.6294,0.5419,0.5798,0.7665,189.6,1
49,9.586472e-05,1.0608,1.5047,0.6279,0.5338,0.5768,0.7732,189.7,0
50,9.564750e-05,1.0560,1.4057,0.6619,0.5732,0.6072,0.8052,189.9,1
51,9.542498e-05,1.0952,1.4609,0.6477,0.5632,0.5948,0.7852,189.4,0
52,9.519719e-05,1.1214,1.3982,0.6583,0.5793,0.6076,0.7880,189.5,0
53,9.496415e-05,1.0793,1.3812,0.6607,0.5680,0.6114,0.8028,190.0,0
54,9.472590e-05,1.0546,1.3588,0.6662,0.5789,0.6087,0.8109,189.3,1
55,9.448245e-05,1.0746,1.3866,0.6604,0.5754,0.6057,0.8002,189.8,0
56,9.423385e-05,1.1060,1.3977,0.6487,0.5569,0.5927,0.7963,189.6,0
