epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
1,1.000000e-08,11.7173,5.4209,0.0323,0.0089,0.0239,0.0642,87.4,1
2,5.009500e-06,10.9767,5.4217,0.0308,0.0084,0.0216,0.0624,68.4,0
3,1.000900e-05,9.1777,5.3899,0.0340,0.0097,0.0242,0.0681,67.6,1
4,1.500850e-05,7.7082,5.3686,0.0319,0.0090,0.0231,0.0637,67.4,0
5,2.000800e-05,6.6738,5.3425,0.0328,0.0088,0.0239,0.0657,67.3,0
6,2.500750e-05,5.9443,5.2605,0.0334,0.0095,0.0232,0.0673,68.2,0
7,3.000700e-05,5.3943,5.2009,0.0325,0.0094,0.0230,0.0650,67.0,0
8,3.500650e-05,5.0467,5.1155,0.0349,0.0108,0.0242,0.0695,67.8,1
9,4.000600e-05,4.7623,5.0114,0.0368,0.0119,0.0268,0.0718,67.5,1
10,4.500550e-05,4.5793,4.9300,0.0343,0.0113,0.0244,0.0674,70.4,0
11,5.000500e-05,4.3500,4.8059,0.0372,0.0120,0.0259,0.0737,69.0,1
12,5.500450e-05,4.2682,4.6758,0.0410,0.0140,0.0292,0.0798,85.3,1
13,6.000400e-05,4.1547,4.5338,0.0457,0.0164,0.0320,0.0888,87.3,1
14,6.500350e-05,4.0122,4.4281,0.0472,0.0182,0.0322,0.0911,70.0,1
15,7.000300e-05,3.9191,4.2980,0.0536,0.0207,0.0369,0.1033,67.7,1
16,7.500250e-05,3.7667,4.1632,0.0685,0.0289,0.0479,0.1286,68.1,1
17,8.000200e-05,3.6836,4.0566,0.0783,0.0335,0.0543,0.1473,69.3,1
18,8.500150e-05,3.5871,3.9291,0.0933,0.0432,0.0664,0.1702,68.4,1
19,9.000100e-05,3.4621,3.8137,0.1108,0.0526,0.0789,0.2009,70.5,1
20,9.500050e-05,3.3210,3.7230,0.1182,0.0573,0.0852,0.2122,68.6,1
21,1.000000e-04,3.2083,3.6238,0.1343,0.0679,0.0983,0.2366,70.7,1
22,9.999688e-05,3.1085,3.5070,0.1737,0.1023,0.1324,0.2865,72.5,1
23,9.998754e-05,3.0129,3.4409,0.1918,0.1187,0.1488,0.3080,67.9,1
24,9.997196e-05,2.9655,3.3391,0.2357,0.1546,0.1884,0.3640,68.2,1
25,9.995016e-05,2.7603,3.2534,0.2781,0.1917,0.2273,0.4151,68.5,1
